STD_YMD,WIAR_SIDO_CD,SGNG_CD,UMD_CD,TOBU_BIDVS_CD,TOBU_MEDVS_CD,PERS_CORP_CLCD,PHOLI_CLCD,TIZO_CLCD,SEX_CLCD,N10_UNIT_AGE_CLCD,HSH_LFTM_MAIN_PRE_CD,EST_INCM_SECT_CD,IFW_AREA_CD,IFW_DISTC_SECT_CD,PAYM_NOCA,SALE_AMT
20250415,11,110,0000000017,20,01,P,1,03,F,30,03,02,A06,01,5,20110
20250208,26,260,0000000002,40,03,C,1,01,M,40,01,02,A03,03,4,353537
20250509,11,110,0000000020,40,03,C,0,03,F,30,02,03,A03,01,4,459816
20250323,26,110,0000000020,30,02,C,0,02,M,10,03,02,A04,02,3,130169
20250130,11,260,0000000006,30,02,C,0,01,F,30,02,01,A01,02,5,257977
20250322,11,410,0000000018,10,02,C,0,04,M,20,04,03,A05,01,3,300550
20250209,41,260,0000000019,30,03,C,1,03,M,10,04,01,A03,02,1,325411
20250210,41,410,0000000012,30,01,C,1,04,M,40,04,03,A03,03,1,106787
20250521,41,260,0000000018,20,02,P,1,03,F,30,04,03,A06,01,2,56722
20250519,11,110,0000000005,30,02,C,0,04,F,30,01,01,A01,01,5,23315
20250325,26,110,0000000020,30,03,P,0,03,M,40,01,03,A05,03,4,10699
20250302,26,110,0000000004,10,01,C,1,01,F,20,04,01,A01,01,4,323693
20250607,26,260,0000000007,10,02,C,0,04,M,50,01,02,A08,02,3,395626
20250411,41,110,0000000015,20,03,P,0,03,F,50,01,01,A02,02,4,205679
20250417,41,110,0000000006,40,03,P,0,01,F,30,04,01,A01,03,2,353936
20250131,26,110,0000000009,10,01,P,0,01,F,50,01,02,A02,01,3,388947
20250220,26,110,0000000018,10,02,P,0,03,F,40,04,02,A08,02,1,396636
20250402,26,260,0000000013,10,03,C,0,02,M,50,02,01,A09,03,5,126228
20250223,26,110,0000000008,10,02,C,0,02,F,20,01,01,A08,02,5,236154
20250624,26,260,0000000001,20,03,C,1,02,F,60,01,01,A08,03,3,75253
20250327,26,260,0000000007,20,03,C,0,03,M,60,03,02,A02,02,4,122621
20250502,11,260,0000000017,40,03,C,1,02,F,50,04,03,A09,01,5,71048
20250517,26,260,0000000018,30,03,P,0,04,M,30,03,02,A10,03,4,189021
20250602,11,260,0000000013,40,03,P,0,02,M,20,02,02,A02,03,2,72072
20250126,26,410,0000000018,40,01,C,1,04,F,10,01,01,A02,01,3,34415
20250223,26,260,0000000009,10,01,C,1,03,F,40,03,01,A06,02,2,400946
20250622,26,110,0000000001,40,02,C,1,04,F,60,02,01,A04,01,3,243469
20250324,41,410,0000000013,20,01,P,1,04,F,30,01,02,A07,01,1,187115
20250320,11,110,0000000017,10,03,C,0,03,F,20,01,02,A08,03,5,28065
20250522,41,260,0000000010,20,02,P,0,02,M,20,03,02,A09,03,4,187520
20250115,11,410,0000000014,30,02,C,1,03,F,10,03,02,A10,01,5,251378
20250528,41,260,0000000012,30,01,C,1,03,F,30,02,02,A07,02,2,448136
20250311,26,110,0000000008,40,03,P,0,02,F,10,01,02,A09,01,4,86360
20250228,26,410,0000000014,40,01,C,0,04,M,50,01,02,A05,02,4,277066
20250411,26,260,0000000004,30,01,C,1,02,F,10,01,02,A06,01,3,404464
20250119,11,260,0000000006,40,01,C,1,02,F,30,02,01,A10,01,1,340461
20250326,11,110,0000000008,20,03,C,0,03,M,20,02,02,A03,01,4,303395
20250618,41,410,0000000012,30,03,C,0,03,M,20,01,02,A03,01,3,32109
20250515,41,110,0000000002,20,01,P,1,01,F,50,03,01,A09,02,5,325235
20250504,41,410,0000000017,20,02,P,0,04,M,60,01,02,A05,01,4,204202
20250518,41,410,0000000004,30,01,C,0,01,M,20,02,01,A03,03,2,348181
20250605,26,410,0000000018,10,01,P,1,02,F,50,02,01,A01,03,4,134749
20250530,11,410,0000000010,40,03,C,1,01,F,50,01,02,A07,03,3,401104
20250405,26,410,0000000020,30,03,P,0,01,M,40,02,01,A10,01,4,34330
20250519,41,110,0000000007,40,02,P,1,03,F,10,04,02,A10,03,4,114038
20250212,11,110,0000000016,10,02,C,0,04,F,30,03,03,A03,03,1,117544
20250304,41,410,0000000007,20,02,C,1,01,M,50,03,03,A07,02,4,437184
20250619,41,260,0000000004,30,02,C,1,01,F,60,01,01,A06,01,2,245502
20250127,41,410,0000000013,40,02,C,0,04,F,40,02,03,A01,01,1,156237
20250521,41,110,0000000012,10,03,C,1,02,F,60,04,02,A04,02,1,106325
20250428,41,260,0000000010,10,03,P,1,03,M,10,03,01,A07,01,2,134142
20250613,41,260,0000000011,20,03,C,1,04,M,50,03,01,A05,03,4,431528
20250602,26,410,0000000007,10,03,P,1,01,F,40,04,01,A09,01,4,295795
20250326,11,260,0000000001,20,03,C,0,01,F,50,02,01,A05,01,3,342484
20250427,11,110,0000000005,10,01,C,0,01,M,30,02,02,A07,01,3,255940
20250320,11,110,0000000012,20,01,C,0,01,M,60,04,03,A08,02,3,435061
20250621,26,260,0000000001,30,03,P,0,04,M,20,03,02,A08,01,4,371764
20250608,41,260,0000000017,40,03,P,0,02,M,20,04,02,A03,01,4,487819
20250401,11,110,0000000007,30,01,P,0,02,F,20,04,01,A05,02,2,8961
20250119,26,260,0000000020,10,02,P,1,04,F,60,02,01,A09,03,2,98859
20250506,11,260,0000000011,10,02,C,0,01,M,50,03,03,A03,02,1,470836
20250422,11,110,0000000001,30,02,C,0,02,F,10,01,02,A07,01,3,58768
20250327,41,410,0000000001,10,01,P,0,02,F,10,03,03,A07,01,4,329595
20250522,11,110,0000000006,30,03,P,0,02,M,20,01,02,A02,02,5,181204
20250507,26,260,0000000014,20,01,P,1,02,M,60,01,02,A08,03,4,487456
20250305,26,260,0000000016,10,01,P,0,03,F,40,02,02,A07,03,3,197164
20250105,11,260,0000000008,20,03,C,1,01,F,30,03,01,A02,03,3,170877
20250316,26,410,0000000019,10,02,P,1,02,F,10,02,01,A07,03,4,302026
20250206,26,110,0000000002,40,02,C,0,04,M,20,01,03,A02,02,1,221446
20250614,26,110,0000000014,40,03,C,1,04,F,20,02,01,A02,03,2,26361
20250610,11,110,0000000018,30,03,P,0,03,M,20,02,03,A10,03,5,178115
20250514,11,410,0000000015,30,01,P,1,02,F,60,02,02,A10,02,3,243522
20250122,41,410,0000000019,40,01,C,0,04,F,20,04,02,A08,03,3,203758
20250429,11,260,0000000019,30,03,C,0,01,M,30,04,01,A06,01,3,269140
20250413,41,110,0000000006,10,01,C,1,01,F,40,04,03,A02,02,4,230666
20250601,26,260,0000000017,40,02,C,1,01,F,60,03,03,A05,01,4,29498
20250504,41,260,0000000018,10,01,C,0,02,M,20,04,03,A07,03,3,22637
20250308,26,110,0000000003,30,03,P,0,02,M,10,03,02,A09,01,2,373293
20250627,26,110,0000000013,20,02,P,1,02,M,50,04,01,A07,03,4,222397
20250405,41,110,0000000008,10,01,P,1,02,M,40,01,02,A01,02,5,73008
20250415,26,110,0000000018,30,03,C,0,02,M,20,04,03,A03,01,4,24052
20250324,41,260,0000000014,40,01,P,1,04,M,50,02,01,A06,03,2,9953
20250302,11,410,0000000013,20,03,C,0,04,M,60,02,01,A07,01,4,104224
20250611,11,110,0000000014,10,02,P,1,04,F,30,02,03,A10,01,3,299761
20250421,26,410,0000000004,20,03,C,0,01,M,60,02,02,A08,03,1,164664
20250228,11,410,0000000018,40,02,P,1,01,F,10,02,03,A01,01,2,438656
20250617,11,410,0000000018,10,03,C,0,03,F,30,03,01,A04,02,2,81648
20250117,26,260,0000000015,40,02,P,0,02,M,60,03,02,A09,03,2,386729
20250415,11,410,0000000016,30,03,C,0,01,F,50,03,01,A03,01,4,457778
20250206,26,110,0000000006,20,02,C,1,01,M,20,01,03,A04,01,2,460750
20250301,41,110,0000000018,30,01,C,1,01,F,40,02,02,A07,03,1,156971
20250309,11,260,0000000020,20,03,P,1,02,F,40,04,02,A08,02,1,254279
20250607,11,410,0000000003,20,02,P,1,02,F,10,03,01,A09,02,5,324480
20250505,26,410,0000000016,20,01,C,1,04,M,10,03,02,A04,03,3,295733
20250118,11,260,0000000009,30,02,P,1,01,F,40,03,02,A01,02,3,357435
20250410,11,110,0000000002,30,02,C,0,02,F,20,02,03,A10,02,3,438180
20250308,41,260,0000000015,30,03,P,1,03,M,10,03,02,A05,02,5,468609
20250524,26,110,0000000017,40,03,P,0,04,F,30,01,03,A05,03,1,98483
20250117,11,410,0000000010,20,01,C,0,02,F,20,04,02,A03,02,4,326832
20250403,26,410,0000000009,20,03,P,1,02,M,10,02,03,A03,01,2,159595
20250225,11,260,0000000009,20,02,C,1,03,F,10,03,02,A04,02,1,213457
20250512,41,260,0000000009,40,03,P,1,02,F,50,02,02,A08,03,2,46841
20250224,41,110,0000000011,10,03,P,1,01,F,20,01,03,A07,02,1,353617
20250101,41,110,0000000020,20,03,P,0,03,F,10,03,02,A02,02,4,60972
20250424,11,260,0000000011,20,03,C,0,04,M,50,04,01,A04,02,2,19173
20250301,41,260,0000000013,20,01,P,0,01,F,20,04,01,A05,02,1,203110
20250505,26,110,0000000014,40,02,P,1,01,F,30,03,02,A05,01,1,137124
20250127,41,110,0000000008,30,01,C,1,04,M,60,03,03,A01,01,2,377996
20250605,11,260,0000000005,40,03,P,1,02,F,30,03,01,A07,01,4,436968
20250520,26,260,0000000002,10,03,C,0,03,M,10,01,03,A04,03,2,70207
20250113,26,110,0000000003,40,01,P,0,01,F,50,01,02,A10,02,1,498873
20250221,11,110,0000000010,20,02,P,0,04,F,50,04,01,A02,03,2,380248
20250426,11,110,0000000008,30,02,C,1,02,M,10,01,03,A05,02,3,333672
20250209,11,410,0000000015,30,01,P,0,01,M,40,04,01,A05,03,4,235887
20250107,11,110,0000000017,20,03,C,0,02,F,50,01,03,A04,01,1,314802
20250222,41,110,0000000015,10,01,P,1,01,F,10,04,02,A07,02,4,71462
20250607,41,410,0000000013,10,03,C,0,03,M,40,04,03,A06,02,5,43900
20250225,11,110,0000000005,30,02,C,0,02,F,40,02,03,A06,02,1,442336
20250329,41,410,0000000011,10,02,P,0,02,F,30,04,01,A05,03,5,142502
20250330,41,110,0000000009,20,03,C,0,01,M,10,01,01,A10,03,3,483470
20250117,41,110,0000000009,30,01,C,0,03,F,20,03,01,A08,03,4,124491
20250116,11,410,0000000016,10,03,C,0,04,F,30,02,03,A06,02,5,483079
20250410,41,110,0000000001,30,02,C,1,02,M,20,03,03,A02,01,2,50586
20250416,11,260,0000000006,30,02,P,0,04,F,60,04,01,A08,03,3,109275
20250329,11,410,0000000002,10,02,P,0,01,M,60,03,01,A01,03,5,14659
20250227,11,110,0000000001,30,03,C,0,01,M,20,02,02,A07,01,5,60402
20250517,11,260,0000000020,30,02,P,0,04,F,10,02,02,A06,02,5,76169
20250403,41,410,0000000008,30,03,P,1,04,M,50,03,01,A02,03,3,457524
20250211,26,410,0000000009,10,01,P,0,02,F,30,01,03,A02,01,5,144352
20250614,26,260,0000000016,40,03,C,0,04,F,20,02,01,A04,01,2,406514
20250510,41,410,0000000020,20,03,P,0,02,M,60,01,01,A03,03,5,275202
20250521,26,260,0000000018,40,02,P,1,01,M,40,02,03,A06,02,4,473210
20250210,11,410,0000000007,30,03,C,1,02,M,40,04,01,A10,03,3,15441
20250302,11,260,0000000002,30,02,P,0,02,F,20,01,02,A04,03,3,187771
20250220,11,260,0000000015,10,03,C,0,03,M,50,04,02,A05,03,2,176878
20250518,26,260,0000000003,20,02,P,1,03,F,20,02,02,A03,02,5,164558
20250411,41,110,0000000003,30,01,C,0,02,F,60,01,02,A07,03,1,233799
20250224,26,110,0000000016,20,03,C,0,01,F,30,01,03,A07,03,2,248905
20250629,11,410,0000000013,10,01,P,0,01,F,60,03,02,A08,01,1,212408
20250427,41,410,0000000002,30,02,C,0,03,M,50,02,01,A02,02,1,155516
20250228,41,260,0000000009,30,02,C,0,03,M,10,04,02,A05,02,4,31751
20250421,41,110,0000000002,40,01,C,0,03,M,60,04,01,A05,02,1,188567
20250314,26,260,0000000005,30,03,P,1,01,F,10,02,02,A04,02,3,111914
20250516,26,110,0000000013,40,03,P,0,04,F,20,03,01,A06,03,4,33323
20250318,26,260,0000000009,10,02,C,0,04,F,50,04,03,A09,02,4,237750
20250516,41,260,0000000011,40,03,P,1,01,M,20,04,03,A07,03,2,226820
20250528,26,260,0000000015,30,03,C,0,01,M,10,04,01,A04,01,2,400550
20250203,41,260,0000000016,10,03,P,1,03,F,10,04,03,A04,03,3,247630
20250205,11,410,0000000006,40,01,C,1,03,M,50,02,03,A09,03,4,440989
20250322,11,410,0000000013,20,03,C,0,04,M,60,03,02,A10,02,4,355548
20250424,26,260,0000000015,10,01,P,0,01,M,30,04,02,A07,03,2,355980
20250411,41,410,0000000014,30,02,P,0,04,F,20,04,02,A08,02,1,339257
20250425,41,410,0000000003,20,02,C,1,04,F,60,02,03,A04,02,2,94690
20250501,41,410,0000000020,20,01,P,1,03,M,30,01,03,A01,03,3,356043
20250306,11,410,0000000010,30,03,C,0,02,M,50,04,02,A06,02,5,187668
20250305,11,110,0000000017,20,03,P,0,04,M,40,03,01,A09,01,1,144959
20250315,41,260,0000000014,30,02,P,1,02,F,30,03,02,A03,02,2,116134
20250526,11,260,0000000002,10,02,P,0,02,F,10,01,02,A05,02,5,129435
20250531,11,410,0000000014,10,02,C,0,04,F,10,02,02,A06,02,5,192164
20250413,26,260,0000000009,10,03,C,1,04,M,60,04,01,A09,02,5,85459
20250625,41,110,0000000012,20,02,C,0,03,F,40,03,02,A03,01,5,409026
20250614,26,260,0000000015,10,03,P,1,02,M,60,01,03,A05,01,2,88513
20250609,11,410,0000000007,40,03,P,1,03,F,20,02,01,A02,03,3,335847
20250523,11,410,0000000017,30,02,C,1,02,F,10,04,02,A02,01,1,174619
20250112,26,410,0000000017,30,02,C,1,02,M,60,04,03,A03,01,1,173503
20250508,41,410,0000000014,10,02,P,0,02,M,50,01,01,A10,01,3,95395
20250521,26,110,0000000010,30,01,P,1,02,M,20,04,03,A05,03,2,125350
20250524,41,110,0000000009,30,01,C,0,02,M,40,04,03,A01,03,1,149700
20250218,41,110,0000000011,30,03,P,1,02,F,40,01,02,A02,03,3,63150
20250201,11,260,0000000015,40,01,C,0,01,M,50,02,01,A05,01,5,7047
20250614,26,110,0000000015,40,02,P,0,02,M,30,01,02,A09,03,2,184457
20250103,26,260,0000000009,20,02,P,0,02,M,20,01,03,A02,02,1,225255
20250217,26,410,0000000018,20,01,P,1,02,M,20,03,02,A02,02,4,150300
20250504,41,110,0000000009,20,01,C,1,01,F,50,01,01,A08,03,4,297606
20250303,41,260,0000000008,10,03,P,0,03,M,60,02,02,A08,02,2,497303
20250620,26,110,0000000010,40,03,P,1,04,F,60,03,03,A06,03,4,23561
20250226,41,410,0000000010,10,02,C,0,03,F,10,01,02,A06,02,5,245522
20250112,41,110,0000000014,10,03,P,1,04,F,30,02,02,A09,03,1,232877
20250112,41,410,0000000008,10,01,P,0,02,F,30,04,02,A05,03,1,126345
20250526,26,260,0000000001,20,02,P,1,04,F,10,02,02,A04,03,4,32241
20250225,11,110,0000000007,30,01,C,1,01,M,20,03,02,A10,02,3,168296
20250622,11,110,0000000010,40,01,C,0,03,F,20,01,03,A04,02,3,15497
20250204,11,110,0000000014,20,01,C,1,04,F,50,01,03,A06,02,1,136519
20250208,26,410,0000000019,20,02,C,1,03,F,10,02,03,A07,01,1,57011
20250411,26,110,0000000019,40,01,C,1,04,M,10,02,01,A10,02,2,362831
20250103,41,410,0000000020,10,03,C,0,02,F,40,01,01,A05,03,4,100499
20250120,26,110,0000000001,10,03,P,0,04,M,40,03,01,A09,03,1,297630
20250506,11,410,0000000009,20,02,P,1,02,M,60,02,01,A09,03,4,401931
20250407,11,410,0000000013,10,02,P,1,02,F,50,02,02,A02,01,1,265903
20250302,11,110,0000000020,40,01,C,0,03,M,60,03,01,A10,03,2,381303
20250421,26,110,0000000019,30,03,C,1,01,M,20,02,01,A08,03,5,312475
20250423,41,260,0000000012,10,03,P,0,01,F,20,04,01,A10,03,2,127616
20250318,41,410,0000000016,10,03,C,1,01,F,20,02,02,A04,03,5,219585
20250426,11,110,0000000005,10,01,P,0,01,M,50,04,03,A05,01,4,369914
20250502,41,110,0000000019,40,01,C,0,02,M,60,01,01,A07,02,1,499132
20250108,41,110,0000000017,30,01,P,1,04,F,60,01,03,A09,03,1,235337
20250317,26,260,0000000003,30,03,C,1,01,M,20,04,02,A02,03,2,401627
20250524,26,410,0000000012,10,02,C,1,01,M,30,04,02,A04,03,4,258905
20250630,11,410,0000000006,20,02,P,1,03,M,30,02,02,A10,02,5,17915
20250124,41,410,0000000010,40,02,C,0,03,M,20,04,03,A06,03,5,216181
20250630,26,410,0000000005,40,03,C,0,01,F,50,03,01,A07,03,1,394555
20250117,41,410,0000000006,30,03,C,0,01,M,30,03,01,A02,02,3,323549
20250323,26,260,0000000014,30,03,P,0,03,F,50,02,01,A08,01,2,385398
20250414,41,110,0000000005,30,03,C,0,03,M,30,03,01,A06,01,4,114467
